"tensor(-0.4639, device='cuda:0')",tensor([-1.])
"tensor(-0.1647, device='cuda:0')",tensor([0.0510])
"tensor(-0.2615, device='cuda:0')",tensor([0.0588])
"tensor(-0.0970, device='cuda:0')",tensor([0.0667])
"tensor(-0.2093, device='cuda:0')",tensor([0.0745])
"tensor(-0.2456, device='cuda:0')",tensor([0.0824])
"tensor(-0.7674, device='cuda:0')",tensor([0.0902])
"tensor(-0.1546, device='cuda:0')",tensor([0.0980])
"tensor(0.3638, device='cuda:0')",tensor([0.1059])
"tensor(-0.2306, device='cuda:0')",tensor([0.1137])
"tensor(0.0733, device='cuda:0')",tensor([0.1216])
"tensor(0.3951, device='cuda:0')",tensor([0.1294])
"tensor(0.3406, device='cuda:0')",tensor([0.1373])
"tensor(-0.2320, device='cuda:0')",tensor([0.1451])
"tensor(-0.3778, device='cuda:0')",tensor([0.1529])
"tensor(-0.0456, device='cuda:0')",tensor([0.1608])
"tensor(-0.4189, device='cuda:0')",tensor([0.1686])
"tensor(0.3690, device='cuda:0')",tensor([0.1765])
"tensor(0.0438, device='cuda:0')",tensor([0.1843])
"tensor(0.4292, device='cuda:0')",tensor([0.1922])
"tensor(-0.7255, device='cuda:0')",tensor([0.2000])
"tensor(-0.0832, device='cuda:0')",tensor([0.2078])
"tensor(-0.6106, device='cuda:0')",tensor([0.2157])
"tensor(0.5675, device='cuda:0')",tensor([0.2235])
"tensor(0.3195, device='cuda:0')",tensor([0.2314])
"tensor(0.0384, device='cuda:0')",tensor([0.2392])
"tensor(-0.6234, device='cuda:0')",tensor([0.2471])
"tensor(-0.6214, device='cuda:0')",tensor([0.2549])
"tensor(-0.4657, device='cuda:0')",tensor([0.2627])
"tensor(-0.5481, device='cuda:0')",tensor([0.2706])
"tensor(-0.0722, device='cuda:0')",tensor([0.2784])
"tensor(-0.5790, device='cuda:0')",tensor([0.2863])
"tensor(-0.0629, device='cuda:0')",tensor([0.2941])
"tensor(0.1220, device='cuda:0')",tensor([0.3020])
"tensor(-0.3881, device='cuda:0')",tensor([0.3098])
"tensor(-0.0407, device='cuda:0')",tensor([0.3176])
"tensor(0.0462, device='cuda:0')",tensor([0.3255])
"tensor(-0.4027, device='cuda:0')",tensor([0.3333])
"tensor(0.1864, device='cuda:0')",tensor([0.3412])
"tensor(-0.4791, device='cuda:0')",tensor([0.3490])
"tensor(-0.4105, device='cuda:0')",tensor([0.3569])
"tensor(0.4142, device='cuda:0')",tensor([0.3647])
"tensor(-0.5156, device='cuda:0')",tensor([0.3725])
"tensor(0.4188, device='cuda:0')",tensor([0.3804])
"tensor(0.1230, device='cuda:0')",tensor([0.3882])
"tensor(-0.5115, device='cuda:0')",tensor([0.3961])
"tensor(0.1829, device='cuda:0')",tensor([0.4039])
"tensor(-0.1386, device='cuda:0')",tensor([0.4118])
"tensor(-0.1953, device='cuda:0')",tensor([0.4196])
"tensor(-0.2621, device='cuda:0')",tensor([0.4275])
"tensor(-0.3556, device='cuda:0')",tensor([0.4353])
"tensor(-0.6762, device='cuda:0')",tensor([0.4431])
"tensor(0.4578, device='cuda:0')",tensor([0.4510])
"tensor(0.1755, device='cuda:0')",tensor([0.4588])
"tensor(-0.6344, device='cuda:0')",tensor([0.4667])
"tensor(0.0861, device='cuda:0')",tensor([0.4745])
"tensor(0.4175, device='cuda:0')",tensor([0.4824])
"tensor(-0.6024, device='cuda:0')",tensor([0.4902])
"tensor(-0.2952, device='cuda:0')",tensor([0.4980])
"tensor(-0.5062, device='cuda:0')",tensor([0.5059])
"tensor(-0.4451, device='cuda:0')",tensor([0.5137])
"tensor(-0.0954, device='cuda:0')",tensor([0.5216])
"tensor(0.1520, device='cuda:0')",tensor([0.5294])
"tensor(-0.0898, device='cuda:0')",tensor([0.5373])
"tensor(-0.3199, device='cuda:0')",tensor([0.5451])
"tensor(-0.1123, device='cuda:0')",tensor([0.5529])
"tensor(0.2124, device='cuda:0')",tensor([0.5608])
"tensor(-0.0548, device='cuda:0')",tensor([0.5686])
"tensor(0.4806, device='cuda:0')",tensor([0.5765])
"tensor(0.1003, device='cuda:0')",tensor([0.5843])
"tensor(0.0145, device='cuda:0')",tensor([0.5922])
"tensor(-0.6934, device='cuda:0')",tensor([0.6000])
"tensor(-0.2853, device='cuda:0')",tensor([0.6078])
"tensor(0.1572, device='cuda:0')",tensor([0.6157])
"tensor(0.2960, device='cuda:0')",tensor([0.6235])
"tensor(-0.3225, device='cuda:0')",tensor([0.6314])
"tensor(0.1477, device='cuda:0')",tensor([0.6392])
"tensor(-0.0668, device='cuda:0')",tensor([0.6471])
"tensor(-0.3107, device='cuda:0')",tensor([0.6549])
"tensor(-0.4913, device='cuda:0')",tensor([0.6627])
"tensor(-0.5210, device='cuda:0')",tensor([0.6706])
"tensor(-0.2975, device='cuda:0')",tensor([0.6784])
"tensor(0.0983, device='cuda:0')",tensor([0.6863])
"tensor(-0.5715, device='cuda:0')",tensor([0.6941])
"tensor(-0.3843, device='cuda:0')",tensor([0.7020])
"tensor(-0.0274, device='cuda:0')",tensor([0.7098])
"tensor(-0.5443, device='cuda:0')",tensor([0.7176])
"tensor(0.0046, device='cuda:0')",tensor([0.7255])
"tensor(-0.1199, device='cuda:0')",tensor([0.7333])
"tensor(-0.5378, device='cuda:0')",tensor([0.7412])
"tensor(0.1420, device='cuda:0')",tensor([0.7490])
"tensor(-0.0246, device='cuda:0')",tensor([0.7569])
"tensor(-0.3824, device='cuda:0')",tensor([0.7647])
"tensor(0.4132, device='cuda:0')",tensor([0.7725])
"tensor(0.1281, device='cuda:0')",tensor([0.7804])
"tensor(-0.1379, device='cuda:0')",tensor([0.7882])
"tensor(-0.3791, device='cuda:0')",tensor([0.7961])
"tensor(0.2368, device='cuda:0')",tensor([0.8039])
"tensor(-0.2755, device='cuda:0')",tensor([0.8118])
"tensor(-0.0766, device='cuda:0')",tensor([0.8196])
"tensor(-0.0070, device='cuda:0')",tensor([0.8275])
"tensor(0.3194, device='cuda:0')",tensor([0.8353])
"tensor(0.0386, device='cuda:0')",tensor([0.8431])
"tensor(-0.6089, device='cuda:0')",tensor([0.8510])
"tensor(0.0302, device='cuda:0')",tensor([0.8588])
"tensor(-0.1155, device='cuda:0')",tensor([0.8667])
"tensor(0.3886, device='cuda:0')",tensor([0.8745])
"tensor(-0.0588, device='cuda:0')",tensor([0.8824])
"tensor(-0.3403, device='cuda:0')",tensor([0.8902])
"tensor(0.3568, device='cuda:0')",tensor([0.8980])
"tensor(0.5117, device='cuda:0')",tensor([0.9059])
"tensor(0.5503, device='cuda:0')",tensor([0.9137])
"tensor(-0.0791, device='cuda:0')",tensor([0.9216])
"tensor(-0.2511, device='cuda:0')",tensor([0.9294])
"tensor(0.2805, device='cuda:0')",tensor([0.9373])
"tensor(0.0932, device='cuda:0')",tensor([0.9451])
"tensor(-0.6347, device='cuda:0')",tensor([0.9529])
"tensor(-0.6755, device='cuda:0')",tensor([0.9608])
"tensor(-0.1387, device='cuda:0')",tensor([0.9686])
"tensor(-0.3492, device='cuda:0')",tensor([0.9765])
"tensor(0.2296, device='cuda:0')",tensor([0.9843])
"tensor(0.0848, device='cuda:0')",tensor([0.9922])
"tensor(0.3589, device='cuda:0')",tensor([1.])
