"tensor(-0.0470, device='cuda:0')",tensor([-1.])
"tensor(0.4783, device='cuda:0')",tensor([-0.5843])
"tensor(-0.3949, device='cuda:0')",tensor([-0.5765])
"tensor(-0.3808, device='cuda:0')",tensor([-0.5686])
"tensor(0.2159, device='cuda:0')",tensor([-0.5608])
"tensor(-0.1306, device='cuda:0')",tensor([-0.5529])
"tensor(-0.4894, device='cuda:0')",tensor([-0.5451])
"tensor(-0.4394, device='cuda:0')",tensor([-0.5373])
"tensor(0.2661, device='cuda:0')",tensor([-0.5294])
"tensor(-0.4452, device='cuda:0')",tensor([-0.5216])
"tensor(0.4056, device='cuda:0')",tensor([-0.5137])
"tensor(-0.1199, device='cuda:0')",tensor([-0.5059])
"tensor(0.5048, device='cuda:0')",tensor([-0.4980])
"tensor(-0.0008, device='cuda:0')",tensor([-0.4902])
"tensor(0.0925, device='cuda:0')",tensor([-0.4824])
"tensor(-0.3638, device='cuda:0')",tensor([-0.4745])
"tensor(-0.0635, device='cuda:0')",tensor([-0.4667])
"tensor(-0.2005, device='cuda:0')",tensor([-0.4588])
"tensor(0.4782, device='cuda:0')",tensor([-0.4510])
"tensor(-0.3184, device='cuda:0')",tensor([-0.4431])
"tensor(0.4197, device='cuda:0')",tensor([-0.4353])
"tensor(-0.1074, device='cuda:0')",tensor([-0.4275])
"tensor(0.3057, device='cuda:0')",tensor([-0.4196])
"tensor(-0.6541, device='cuda:0')",tensor([-0.4118])
"tensor(-0.3758, device='cuda:0')",tensor([-0.4039])
"tensor(-0.3161, device='cuda:0')",tensor([-0.3961])
"tensor(-0.3800, device='cuda:0')",tensor([-0.3882])
"tensor(-0.0329, device='cuda:0')",tensor([-0.3804])
"tensor(-0.5745, device='cuda:0')",tensor([-0.3725])
"tensor(0.1593, device='cuda:0')",tensor([-0.3647])
"tensor(0.4711, device='cuda:0')",tensor([-0.3569])
"tensor(-0.6269, device='cuda:0')",tensor([-0.3490])
"tensor(0.5797, device='cuda:0')",tensor([-0.3412])
"tensor(-0.4163, device='cuda:0')",tensor([-0.3333])
"tensor(-0.4793, device='cuda:0')",tensor([-0.3255])
"tensor(0.4359, device='cuda:0')",tensor([-0.3176])
"tensor(0.0476, device='cuda:0')",tensor([-0.3098])
"tensor(-0.0220, device='cuda:0')",tensor([-0.3020])
"tensor(-0.3816, device='cuda:0')",tensor([-0.2941])
"tensor(0.4656, device='cuda:0')",tensor([-0.2863])
"tensor(-0.6698, device='cuda:0')",tensor([-0.2784])
"tensor(0.2711, device='cuda:0')",tensor([-0.2706])
"tensor(0.2351, device='cuda:0')",tensor([-0.2627])
"tensor(0.4916, device='cuda:0')",tensor([-0.2549])
"tensor(-0.1986, device='cuda:0')",tensor([-0.2471])
"tensor(-0.0987, device='cuda:0')",tensor([-0.2392])
"tensor(0.1393, device='cuda:0')",tensor([-0.2314])
"tensor(-0.4970, device='cuda:0')",tensor([-0.2235])
"tensor(-0.4734, device='cuda:0')",tensor([-0.2157])
"tensor(-0.4864, device='cuda:0')",tensor([-0.2078])
"tensor(0.3051, device='cuda:0')",tensor([-0.2000])
"tensor(-0.1536, device='cuda:0')",tensor([-0.1922])
"tensor(-0.1686, device='cuda:0')",tensor([-0.1843])
"tensor(0.5718, device='cuda:0')",tensor([-0.1765])
"tensor(-0.5629, device='cuda:0')",tensor([-0.1686])
"tensor(-0.2670, device='cuda:0')",tensor([-0.1608])
"tensor(0.2395, device='cuda:0')",tensor([-0.1529])
"tensor(-0.4448, device='cuda:0')",tensor([-0.1451])
"tensor(-0.5622, device='cuda:0')",tensor([-0.1373])
"tensor(-0.2868, device='cuda:0')",tensor([-0.1294])
"tensor(-0.6601, device='cuda:0')",tensor([-0.1216])
"tensor(-0.1219, device='cuda:0')",tensor([-0.1137])
"tensor(0.1922, device='cuda:0')",tensor([-0.1059])
"tensor(0.1744, device='cuda:0')",tensor([-0.0980])
"tensor(-0.6917, device='cuda:0')",tensor([-0.0902])
"tensor(0.4332, device='cuda:0')",tensor([-0.0824])
"tensor(-0.1464, device='cuda:0')",tensor([-0.0745])
"tensor(-0.1918, device='cuda:0')",tensor([-0.0667])
"tensor(-0.3382, device='cuda:0')",tensor([-0.0588])
"tensor(0.3699, device='cuda:0')",tensor([-0.0510])
"tensor(-0.2600, device='cuda:0')",tensor([-0.0431])
"tensor(0.5758, device='cuda:0')",tensor([-0.0353])
"tensor(0.1932, device='cuda:0')",tensor([-0.0275])
"tensor(-0.4717, device='cuda:0')",tensor([-0.0196])
"tensor(-0.6533, device='cuda:0')",tensor([-0.0118])
"tensor(-0.0311, device='cuda:0')",tensor([-0.0039])
"tensor(-0.3130, device='cuda:0')",tensor([0.0039])
"tensor(0.1634, device='cuda:0')",tensor([0.0118])
"tensor(-0.5885, device='cuda:0')",tensor([0.0196])
"tensor(0.3585, device='cuda:0')",tensor([0.0275])
"tensor(0.2429, device='cuda:0')",tensor([0.0353])
"tensor(-0.4694, device='cuda:0')",tensor([0.0431])
"tensor(-0.1061, device='cuda:0')",tensor([0.0510])
"tensor(-0.1646, device='cuda:0')",tensor([0.0588])
"tensor(-0.2679, device='cuda:0')",tensor([0.0667])
"tensor(-0.2671, device='cuda:0')",tensor([0.0745])
"tensor(0.4557, device='cuda:0')",tensor([0.0824])
"tensor(0.1589, device='cuda:0')",tensor([0.0902])
"tensor(-0.2039, device='cuda:0')",tensor([0.0980])
"tensor(0.3589, device='cuda:0')",tensor([0.1059])
"tensor(0.2581, device='cuda:0')",tensor([0.1137])
"tensor(0.4024, device='cuda:0')",tensor([0.1216])
"tensor(-0.5336, device='cuda:0')",tensor([0.1294])
"tensor(0.2791, device='cuda:0')",tensor([0.1373])
"tensor(-0.1509, device='cuda:0')",tensor([0.1451])
"tensor(0.2253, device='cuda:0')",tensor([0.1529])
"tensor(-0.0338, device='cuda:0')",tensor([0.1608])
"tensor(-0.3551, device='cuda:0')",tensor([0.1686])
"tensor(-0.6699, device='cuda:0')",tensor([0.1765])
"tensor(0.0683, device='cuda:0')",tensor([0.1843])
"tensor(0.3304, device='cuda:0')",tensor([0.1922])
"tensor(0.1044, device='cuda:0')",tensor([0.2000])
"tensor(0.0565, device='cuda:0')",tensor([0.2078])
"tensor(-0.0224, device='cuda:0')",tensor([0.2157])
"tensor(0.2233, device='cuda:0')",tensor([0.2235])
"tensor(-0.5225, device='cuda:0')",tensor([0.2314])
"tensor(0.0411, device='cuda:0')",tensor([0.2392])
"tensor(0.5955, device='cuda:0')",tensor([0.2471])
"tensor(-0.2945, device='cuda:0')",tensor([0.2549])
"tensor(-0.1343, device='cuda:0')",tensor([0.2627])
"tensor(-0.1682, device='cuda:0')",tensor([0.2706])
"tensor(-0.2230, device='cuda:0')",tensor([0.2784])
"tensor(0.2004, device='cuda:0')",tensor([0.2863])
"tensor(0.2123, device='cuda:0')",tensor([0.2941])
"tensor(0.2592, device='cuda:0')",tensor([0.3020])
"tensor(0.4453, device='cuda:0')",tensor([0.3098])
"tensor(-0.4792, device='cuda:0')",tensor([0.3176])
"tensor(0.2825, device='cuda:0')",tensor([0.3255])
"tensor(-0.5447, device='cuda:0')",tensor([0.3333])
"tensor(0.3467, device='cuda:0')",tensor([0.3412])
"tensor(-0.0469, device='cuda:0')",tensor([0.3490])
"tensor(-0.0765, device='cuda:0')",tensor([0.3569])
"tensor(0.0801, device='cuda:0')",tensor([0.3647])
"tensor(-0.0938, device='cuda:0')",tensor([0.3725])
"tensor(0.4500, device='cuda:0')",tensor([0.3804])
"tensor(0.3703, device='cuda:0')",tensor([0.3882])
"tensor(-0.0499, device='cuda:0')",tensor([0.3961])
"tensor(0.0122, device='cuda:0')",tensor([0.4039])
"tensor(0.2187, device='cuda:0')",tensor([0.4118])
"tensor(-0.1077, device='cuda:0')",tensor([0.4196])
"tensor(0.1313, device='cuda:0')",tensor([0.4275])
"tensor(-0.5487, device='cuda:0')",tensor([0.4353])
"tensor(-0.4295, device='cuda:0')",tensor([0.4431])
"tensor(-0.0919, device='cuda:0')",tensor([0.4510])
"tensor(-0.4346, device='cuda:0')",tensor([0.4588])
"tensor(-0.5374, device='cuda:0')",tensor([0.4667])
"tensor(-0.0599, device='cuda:0')",tensor([0.4745])
"tensor(0.4752, device='cuda:0')",tensor([0.4824])
"tensor(-0.5193, device='cuda:0')",tensor([0.4902])
"tensor(0.3438, device='cuda:0')",tensor([0.4980])
"tensor(-0.0487, device='cuda:0')",tensor([0.5059])
"tensor(-0.2941, device='cuda:0')",tensor([0.5137])
"tensor(-0.3490, device='cuda:0')",tensor([0.5216])
"tensor(0.2343, device='cuda:0')",tensor([0.5294])
"tensor(0.4663, device='cuda:0')",tensor([0.5373])
"tensor(0.2955, device='cuda:0')",tensor([0.5451])
"tensor(0.1243, device='cuda:0')",tensor([0.5529])
"tensor(-0.3906, device='cuda:0')",tensor([0.5608])
"tensor(-0.4436, device='cuda:0')",tensor([0.5686])
"tensor(-0.4409, device='cuda:0')",tensor([0.5765])
"tensor(0.5489, device='cuda:0')",tensor([0.5843])
"tensor(0.2233, device='cuda:0')",tensor([0.5922])
"tensor(-0.4168, device='cuda:0')",tensor([0.6000])
"tensor(-0.3511, device='cuda:0')",tensor([0.6078])
"tensor(-0.6370, device='cuda:0')",tensor([0.6157])
"tensor(-0.4954, device='cuda:0')",tensor([0.6235])
"tensor(-0.1112, device='cuda:0')",tensor([0.6314])
"tensor(-0.2270, device='cuda:0')",tensor([0.6392])
"tensor(0.0560, device='cuda:0')",tensor([0.6471])
"tensor(-0.5185, device='cuda:0')",tensor([0.6549])
"tensor(-0.5636, device='cuda:0')",tensor([0.6627])
"tensor(-0.6138, device='cuda:0')",tensor([0.6706])
"tensor(0.3208, device='cuda:0')",tensor([0.6784])
"tensor(0.1197, device='cuda:0')",tensor([0.6863])
"tensor(0.4262, device='cuda:0')",tensor([0.6941])
"tensor(0.0185, device='cuda:0')",tensor([0.7020])
"tensor(0.3563, device='cuda:0')",tensor([0.7098])
"tensor(0.4762, device='cuda:0')",tensor([0.7176])
"tensor(-0.4572, device='cuda:0')",tensor([0.7255])
"tensor(-0.3785, device='cuda:0')",tensor([0.7333])
"tensor(-0.4494, device='cuda:0')",tensor([0.7412])
"tensor(0.1335, device='cuda:0')",tensor([0.7490])
"tensor(-0.0591, device='cuda:0')",tensor([0.7569])
"tensor(-0.4616, device='cuda:0')",tensor([0.7647])
"tensor(0.2347, device='cuda:0')",tensor([0.7725])
"tensor(-0.4099, device='cuda:0')",tensor([0.7804])
"tensor(0.3280, device='cuda:0')",tensor([0.7882])
"tensor(-0.4763, device='cuda:0')",tensor([0.7961])
"tensor(-0.0038, device='cuda:0')",tensor([0.8039])
"tensor(0.1319, device='cuda:0')",tensor([0.8118])
"tensor(0.5138, device='cuda:0')",tensor([0.8196])
"tensor(-0.0565, device='cuda:0')",tensor([0.8275])
"tensor(0.0029, device='cuda:0')",tensor([0.8353])
"tensor(0.4862, device='cuda:0')",tensor([0.8431])
"tensor(0.1135, device='cuda:0')",tensor([0.8510])
"tensor(-0.4099, device='cuda:0')",tensor([0.8588])
"tensor(-0.1138, device='cuda:0')",tensor([0.8667])
"tensor(-0.4758, device='cuda:0')",tensor([0.8745])
"tensor(0.0314, device='cuda:0')",tensor([0.8824])
"tensor(-0.0931, device='cuda:0')",tensor([0.8902])
"tensor(-0.6608, device='cuda:0')",tensor([0.8980])
"tensor(0.0417, device='cuda:0')",tensor([0.9059])
"tensor(0.1382, device='cuda:0')",tensor([0.9137])
"tensor(-0.0909, device='cuda:0')",tensor([0.9216])
"tensor(0.5517, device='cuda:0')",tensor([0.9294])
"tensor(-0.4591, device='cuda:0')",tensor([0.9373])
"tensor(0.3099, device='cuda:0')",tensor([0.9451])
"tensor(0.2520, device='cuda:0')",tensor([0.9529])
"tensor(0.2644, device='cuda:0')",tensor([0.9608])
"tensor(-0.2338, device='cuda:0')",tensor([0.9686])
"tensor(0.0548, device='cuda:0')",tensor([0.9765])
"tensor(-0.4634, device='cuda:0')",tensor([0.9843])
"tensor(-0.3304, device='cuda:0')",tensor([0.9922])
"tensor(-0.2946, device='cuda:0')",tensor([1.])
