"tensor(0.0723, device='cuda:0')",tensor([-1.])
"tensor(0.2368, device='cuda:0')",tensor([-0.4275])
"tensor(0.2346, device='cuda:0')",tensor([-0.4196])
"tensor(0.2324, device='cuda:0')",tensor([-0.4118])
"tensor(0.2304, device='cuda:0')",tensor([-0.4039])
"tensor(0.2284, device='cuda:0')",tensor([-0.3961])
"tensor(0.2266, device='cuda:0')",tensor([-0.3882])
"tensor(0.2248, device='cuda:0')",tensor([-0.3804])
"tensor(0.2231, device='cuda:0')",tensor([-0.3725])
"tensor(0.2215, device='cuda:0')",tensor([-0.3647])
"tensor(0.2200, device='cuda:0')",tensor([-0.3569])
"tensor(0.2185, device='cuda:0')",tensor([-0.3490])
"tensor(0.2171, device='cuda:0')",tensor([-0.3412])
"tensor(0.2157, device='cuda:0')",tensor([-0.3333])
"tensor(0.2143, device='cuda:0')",tensor([-0.3255])
"tensor(0.2130, device='cuda:0')",tensor([-0.3176])
"tensor(0.2117, device='cuda:0')",tensor([-0.3098])
"tensor(0.2104, device='cuda:0')",tensor([-0.3020])
"tensor(0.2091, device='cuda:0')",tensor([-0.2941])
"tensor(0.2077, device='cuda:0')",tensor([-0.2863])
"tensor(0.2064, device='cuda:0')",tensor([-0.2784])
"tensor(0.2049, device='cuda:0')",tensor([-0.2706])
"tensor(0.2034, device='cuda:0')",tensor([-0.2627])
"tensor(0.2017, device='cuda:0')",tensor([-0.2549])
"tensor(0.2000, device='cuda:0')",tensor([-0.2471])
"tensor(0.1980, device='cuda:0')",tensor([-0.2392])
"tensor(0.1959, device='cuda:0')",tensor([-0.2314])
"tensor(0.1935, device='cuda:0')",tensor([-0.2235])
"tensor(0.1909, device='cuda:0')",tensor([-0.2157])
"tensor(0.1879, device='cuda:0')",tensor([-0.2078])
"tensor(0.1846, device='cuda:0')",tensor([-0.2000])
"tensor(0.1808, device='cuda:0')",tensor([-0.1922])
"tensor(0.1765, device='cuda:0')",tensor([-0.1843])
"tensor(0.1716, device='cuda:0')",tensor([-0.1765])
"tensor(0.1658, device='cuda:0')",tensor([-0.1686])
"tensor(0.1589, device='cuda:0')",tensor([-0.1608])
"tensor(0.1509, device='cuda:0')",tensor([-0.1529])
"tensor(0.1413, device='cuda:0')",tensor([-0.1451])
"tensor(0.1296, device='cuda:0')",tensor([-0.1373])
"tensor(0.1154, device='cuda:0')",tensor([-0.1294])
"tensor(0.0987, device='cuda:0')",tensor([-0.1216])
"tensor(0.0804, device='cuda:0')",tensor([-0.1137])
"tensor(0.0614, device='cuda:0')",tensor([-0.1059])
"tensor(0.0421, device='cuda:0')",tensor([-0.0980])
"tensor(0.0216, device='cuda:0')",tensor([-0.0902])
"tensor(-0.0011, device='cuda:0')",tensor([-0.0824])
"tensor(-0.0269, device='cuda:0')",tensor([-0.0745])
"tensor(-0.0551, device='cuda:0')",tensor([-0.0667])
"tensor(-0.0834, device='cuda:0')",tensor([-0.0588])
"tensor(-0.1096, device='cuda:0')",tensor([-0.0510])
"tensor(-0.1324, device='cuda:0')",tensor([-0.0431])
"tensor(-0.1518, device='cuda:0')",tensor([-0.0353])
"tensor(-0.1683, device='cuda:0')",tensor([-0.0275])
"tensor(-0.1826, device='cuda:0')",tensor([-0.0196])
"tensor(-0.1952, device='cuda:0')",tensor([-0.0118])
"tensor(-0.2065, device='cuda:0')",tensor([-0.0039])
"tensor(-0.2168, device='cuda:0')",tensor([0.0039])
"tensor(-0.2262, device='cuda:0')",tensor([0.0118])
"tensor(-0.2350, device='cuda:0')",tensor([0.0196])
"tensor(-0.2432, device='cuda:0')",tensor([0.0275])
"tensor(-0.2508, device='cuda:0')",tensor([0.0353])
"tensor(-0.2581, device='cuda:0')",tensor([0.0431])
"tensor(-0.2649, device='cuda:0')",tensor([0.0510])
"tensor(-0.2713, device='cuda:0')",tensor([0.0588])
"tensor(-0.2774, device='cuda:0')",tensor([0.0667])
"tensor(-0.2832, device='cuda:0')",tensor([0.0745])
"tensor(-0.2887, device='cuda:0')",tensor([0.0824])
"tensor(-0.2940, device='cuda:0')",tensor([0.0902])
"tensor(-0.2990, device='cuda:0')",tensor([0.0980])
"tensor(-0.3038, device='cuda:0')",tensor([0.1059])
"tensor(-0.3083, device='cuda:0')",tensor([0.1137])
"tensor(-0.3125, device='cuda:0')",tensor([0.1216])
"tensor(-0.3165, device='cuda:0')",tensor([0.1294])
"tensor(-0.3203, device='cuda:0')",tensor([0.1373])
"tensor(-0.3239, device='cuda:0')",tensor([0.1451])
"tensor(-0.3272, device='cuda:0')",tensor([0.1529])
"tensor(-0.3304, device='cuda:0')",tensor([0.1608])
"tensor(-0.3335, device='cuda:0')",tensor([0.1686])
"tensor(-0.3363, device='cuda:0')",tensor([0.1765])
"tensor(-0.3391, device='cuda:0')",tensor([0.1843])
"tensor(-0.3417, device='cuda:0')",tensor([0.1922])
"tensor(-0.3441, device='cuda:0')",tensor([0.2000])
"tensor(-0.3464, device='cuda:0')",tensor([0.2078])
"tensor(-0.3486, device='cuda:0')",tensor([0.2157])
"tensor(-0.3507, device='cuda:0')",tensor([0.2235])
"tensor(-0.3526, device='cuda:0')",tensor([0.2314])
"tensor(-0.3544, device='cuda:0')",tensor([0.2392])
"tensor(-0.3560, device='cuda:0')",tensor([0.2471])
"tensor(-0.3576, device='cuda:0')",tensor([0.2549])
"tensor(-0.3590, device='cuda:0')",tensor([0.2627])
"tensor(-0.3603, device='cuda:0')",tensor([0.2706])
"tensor(-0.3615, device='cuda:0')",tensor([0.2784])
"tensor(-0.3626, device='cuda:0')",tensor([0.2863])
"tensor(-0.3636, device='cuda:0')",tensor([0.2941])
"tensor(-0.3645, device='cuda:0')",tensor([0.3020])
"tensor(-0.3653, device='cuda:0')",tensor([0.3098])
"tensor(-0.3661, device='cuda:0')",tensor([0.3176])
"tensor(-0.3668, device='cuda:0')",tensor([0.3255])
"tensor(-0.3674, device='cuda:0')",tensor([0.3333])
"tensor(-0.3679, device='cuda:0')",tensor([0.3412])
"tensor(-0.3684, device='cuda:0')",tensor([0.3490])
"tensor(-0.3689, device='cuda:0')",tensor([0.3569])
"tensor(-0.3693, device='cuda:0')",tensor([0.3647])
"tensor(-0.3696, device='cuda:0')",tensor([0.3725])
"tensor(-0.3699, device='cuda:0')",tensor([0.3804])
"tensor(-0.3702, device='cuda:0')",tensor([0.3882])
"tensor(-0.3704, device='cuda:0')",tensor([0.3961])
"tensor(-0.3705, device='cuda:0')",tensor([0.4039])
"tensor(-0.3707, device='cuda:0')",tensor([0.4118])
"tensor(-0.3708, device='cuda:0')",tensor([0.4196])
"tensor(-0.3708, device='cuda:0')",tensor([0.4275])
"tensor(-0.3708, device='cuda:0')",tensor([0.4353])
"tensor(-0.3708, device='cuda:0')",tensor([0.4431])
"tensor(-0.3708, device='cuda:0')",tensor([0.4510])
"tensor(-0.3707, device='cuda:0')",tensor([0.4588])
"tensor(-0.3705, device='cuda:0')",tensor([0.4667])
"tensor(-0.3704, device='cuda:0')",tensor([0.4745])
"tensor(-0.3702, device='cuda:0')",tensor([0.4824])
"tensor(-0.3700, device='cuda:0')",tensor([0.4902])
"tensor(-0.3697, device='cuda:0')",tensor([0.4980])
"tensor(-0.3694, device='cuda:0')",tensor([0.5059])
"tensor(-0.3691, device='cuda:0')",tensor([0.5137])
"tensor(-0.3687, device='cuda:0')",tensor([0.5216])
"tensor(-0.3683, device='cuda:0')",tensor([0.5294])
"tensor(-0.3678, device='cuda:0')",tensor([0.5373])
"tensor(-0.3673, device='cuda:0')",tensor([0.5451])
"tensor(-0.3667, device='cuda:0')",tensor([0.5529])
"tensor(-0.3660, device='cuda:0')",tensor([0.5608])
"tensor(-0.3652, device='cuda:0')",tensor([0.5686])
"tensor(-0.3644, device='cuda:0')",tensor([0.5765])
"tensor(-0.3635, device='cuda:0')",tensor([0.5843])
"tensor(-0.3624, device='cuda:0')",tensor([0.5922])
"tensor(-0.3612, device='cuda:0')",tensor([0.6000])
"tensor(-0.3599, device='cuda:0')",tensor([0.6078])
"tensor(-0.3584, device='cuda:0')",tensor([0.6157])
"tensor(-0.3567, device='cuda:0')",tensor([0.6235])
"tensor(-0.3549, device='cuda:0')",tensor([0.6314])
"tensor(-0.3529, device='cuda:0')",tensor([0.6392])
"tensor(-0.3507, device='cuda:0')",tensor([0.6471])
"tensor(-0.3483, device='cuda:0')",tensor([0.6549])
"tensor(-0.3457, device='cuda:0')",tensor([0.6627])
"tensor(-0.3430, device='cuda:0')",tensor([0.6706])
"tensor(-0.3402, device='cuda:0')",tensor([0.6784])
"tensor(-0.3371, device='cuda:0')",tensor([0.6863])
"tensor(-0.3340, device='cuda:0')",tensor([0.6941])
"tensor(-0.3308, device='cuda:0')",tensor([0.7020])
"tensor(-0.3274, device='cuda:0')",tensor([0.7098])
"tensor(-0.3239, device='cuda:0')",tensor([0.7176])
"tensor(-0.3202, device='cuda:0')",tensor([0.7255])
"tensor(-0.3164, device='cuda:0')",tensor([0.7333])
"tensor(-0.3124, device='cuda:0')",tensor([0.7412])
"tensor(-0.3081, device='cuda:0')",tensor([0.7490])
"tensor(-0.3035, device='cuda:0')",tensor([0.7569])
"tensor(-0.2985, device='cuda:0')",tensor([0.7647])
"tensor(-0.2930, device='cuda:0')",tensor([0.7725])
"tensor(-0.2870, device='cuda:0')",tensor([0.7804])
"tensor(-0.2804, device='cuda:0')",tensor([0.7882])
"tensor(-0.2731, device='cuda:0')",tensor([0.7961])
"tensor(-0.2651, device='cuda:0')",tensor([0.8039])
"tensor(-0.2562, device='cuda:0')",tensor([0.8118])
"tensor(-0.2466, device='cuda:0')",tensor([0.8196])
"tensor(-0.2364, device='cuda:0')",tensor([0.8275])
"tensor(-0.2256, device='cuda:0')",tensor([0.8353])
"tensor(-0.2146, device='cuda:0')",tensor([0.8431])
"tensor(-0.2036, device='cuda:0')",tensor([0.8510])
"tensor(-0.1929, device='cuda:0')",tensor([0.8588])
"tensor(-0.1827, device='cuda:0')",tensor([0.8667])
"tensor(-0.1731, device='cuda:0')",tensor([0.8745])
"tensor(-0.1644, device='cuda:0')",tensor([0.8824])
"tensor(-0.1565, device='cuda:0')",tensor([0.8902])
"tensor(-0.1494, device='cuda:0')",tensor([0.8980])
"tensor(-0.1431, device='cuda:0')",tensor([0.9059])
"tensor(-0.1375, device='cuda:0')",tensor([0.9137])
"tensor(-0.1327, device='cuda:0')",tensor([0.9216])
"tensor(-0.1284, device='cuda:0')",tensor([0.9294])
"tensor(-0.1246, device='cuda:0')",tensor([0.9373])
"tensor(-0.1213, device='cuda:0')",tensor([0.9451])
"tensor(-0.1184, device='cuda:0')",tensor([0.9529])
"tensor(-0.1158, device='cuda:0')",tensor([0.9608])
"tensor(-0.1135, device='cuda:0')",tensor([0.9686])
"tensor(-0.1115, device='cuda:0')",tensor([0.9765])
"tensor(-0.1097, device='cuda:0')",tensor([0.9843])
"tensor(-0.1080, device='cuda:0')",tensor([0.9922])
"tensor(-0.1066, device='cuda:0')",tensor([1.])
