"tensor(0.0134, device='cuda:0')",tensor([-1.])
"tensor(0.1798, device='cuda:0')",tensor([-0.1059])
"tensor(0.1738, device='cuda:0')",tensor([-0.0980])
"tensor(0.1668, device='cuda:0')",tensor([-0.0902])
"tensor(0.1585, device='cuda:0')",tensor([-0.0824])
"tensor(0.1483, device='cuda:0')",tensor([-0.0745])
"tensor(0.1356, device='cuda:0')",tensor([-0.0667])
"tensor(0.1198, device='cuda:0')",tensor([-0.0588])
"tensor(0.1000, device='cuda:0')",tensor([-0.0510])
"tensor(0.0757, device='cuda:0')",tensor([-0.0431])
"tensor(0.0465, device='cuda:0')",tensor([-0.0353])
"tensor(0.0123, device='cuda:0')",tensor([-0.0275])
"tensor(-0.0274, device='cuda:0')",tensor([-0.0196])
"tensor(-0.0735, device='cuda:0')",tensor([-0.0118])
"tensor(-0.1276, device='cuda:0')",tensor([-0.0039])
"tensor(-0.1890, device='cuda:0')",tensor([0.0039])
"tensor(-0.2493, device='cuda:0')",tensor([0.0118])
"tensor(-0.2973, device='cuda:0')",tensor([0.0196])
"tensor(-0.3309, device='cuda:0')",tensor([0.0275])
"tensor(-0.3540, device='cuda:0')",tensor([0.0353])
"tensor(-0.3706, device='cuda:0')",tensor([0.0431])
"tensor(-0.3829, device='cuda:0')",tensor([0.0510])
"tensor(-0.3925, device='cuda:0')",tensor([0.0588])
"tensor(-0.4002, device='cuda:0')",tensor([0.0667])
"tensor(-0.4065, device='cuda:0')",tensor([0.0745])
"tensor(-0.4119, device='cuda:0')",tensor([0.0824])
"tensor(-0.4165, device='cuda:0')",tensor([0.0902])
"tensor(-0.4205, device='cuda:0')",tensor([0.0980])
"tensor(-0.4241, device='cuda:0')",tensor([0.1059])
"tensor(-0.4273, device='cuda:0')",tensor([0.1137])
"tensor(-0.4302, device='cuda:0')",tensor([0.1216])
"tensor(-0.4328, device='cuda:0')",tensor([0.1294])
"tensor(-0.4352, device='cuda:0')",tensor([0.1373])
"tensor(-0.4374, device='cuda:0')",tensor([0.1451])
"tensor(-0.4394, device='cuda:0')",tensor([0.1529])
"tensor(-0.4411, device='cuda:0')",tensor([0.1608])
"tensor(-0.4427, device='cuda:0')",tensor([0.1686])
"tensor(-0.4442, device='cuda:0')",tensor([0.1765])
"tensor(-0.4455, device='cuda:0')",tensor([0.1843])
"tensor(-0.4466, device='cuda:0')",tensor([0.1922])
"tensor(-0.4477, device='cuda:0')",tensor([0.2000])
"tensor(-0.4487, device='cuda:0')",tensor([0.2078])
"tensor(-0.4495, device='cuda:0')",tensor([0.2157])
"tensor(-0.4503, device='cuda:0')",tensor([0.2235])
"tensor(-0.4510, device='cuda:0')",tensor([0.2314])
"tensor(-0.4517, device='cuda:0')",tensor([0.2392])
"tensor(-0.4524, device='cuda:0')",tensor([0.2471])
"tensor(-0.4530, device='cuda:0')",tensor([0.2549])
"tensor(-0.4535, device='cuda:0')",tensor([0.2627])
"tensor(-0.4541, device='cuda:0')",tensor([0.2706])
"tensor(-0.4546, device='cuda:0')",tensor([0.2784])
"tensor(-0.4551, device='cuda:0')",tensor([0.2863])
"tensor(-0.4555, device='cuda:0')",tensor([0.2941])
"tensor(-0.4559, device='cuda:0')",tensor([0.3020])
"tensor(-0.4562, device='cuda:0')",tensor([0.3098])
"tensor(-0.4565, device='cuda:0')",tensor([0.3176])
"tensor(-0.4567, device='cuda:0')",tensor([0.3255])
"tensor(-0.4567, device='cuda:0')",tensor([0.3333])
"tensor(-0.4566, device='cuda:0')",tensor([0.3412])
"tensor(-0.4563, device='cuda:0')",tensor([0.3490])
"tensor(-0.4558, device='cuda:0')",tensor([0.3569])
"tensor(-0.4551, device='cuda:0')",tensor([0.3647])
"tensor(-0.4540, device='cuda:0')",tensor([0.3725])
"tensor(-0.4527, device='cuda:0')",tensor([0.3804])
"tensor(-0.4510, device='cuda:0')",tensor([0.3882])
"tensor(-0.4490, device='cuda:0')",tensor([0.3961])
"tensor(-0.4465, device='cuda:0')",tensor([0.4039])
"tensor(-0.4437, device='cuda:0')",tensor([0.4118])
"tensor(-0.4404, device='cuda:0')",tensor([0.4196])
"tensor(-0.4367, device='cuda:0')",tensor([0.4275])
"tensor(-0.4325, device='cuda:0')",tensor([0.4353])
"tensor(-0.4280, device='cuda:0')",tensor([0.4431])
"tensor(-0.4231, device='cuda:0')",tensor([0.4510])
"tensor(-0.4178, device='cuda:0')",tensor([0.4588])
"tensor(-0.4122, device='cuda:0')",tensor([0.4667])
"tensor(-0.4064, device='cuda:0')",tensor([0.4745])
"tensor(-0.4004, device='cuda:0')",tensor([0.4824])
"tensor(-0.3941, device='cuda:0')",tensor([0.4902])
"tensor(-0.3877, device='cuda:0')",tensor([0.4980])
"tensor(-0.3812, device='cuda:0')",tensor([0.5059])
"tensor(-0.3746, device='cuda:0')",tensor([0.5137])
"tensor(-0.3679, device='cuda:0')",tensor([0.5216])
"tensor(-0.3612, device='cuda:0')",tensor([0.5294])
"tensor(-0.3544, device='cuda:0')",tensor([0.5373])
"tensor(-0.3476, device='cuda:0')",tensor([0.5451])
"tensor(-0.3408, device='cuda:0')",tensor([0.5529])
"tensor(-0.3340, device='cuda:0')",tensor([0.5608])
"tensor(-0.3271, device='cuda:0')",tensor([0.5686])
"tensor(-0.3202, device='cuda:0')",tensor([0.5765])
"tensor(-0.3133, device='cuda:0')",tensor([0.5843])
"tensor(-0.3063, device='cuda:0')",tensor([0.5922])
"tensor(-0.2993, device='cuda:0')",tensor([0.6000])
"tensor(-0.2922, device='cuda:0')",tensor([0.6078])
"tensor(-0.2850, device='cuda:0')",tensor([0.6157])
"tensor(-0.2777, device='cuda:0')",tensor([0.6235])
"tensor(-0.2703, device='cuda:0')",tensor([0.6314])
"tensor(-0.2628, device='cuda:0')",tensor([0.6392])
"tensor(-0.2552, device='cuda:0')",tensor([0.6471])
"tensor(-0.2474, device='cuda:0')",tensor([0.6549])
"tensor(-0.2394, device='cuda:0')",tensor([0.6627])
"tensor(-0.2313, device='cuda:0')",tensor([0.6706])
"tensor(-0.2231, device='cuda:0')",tensor([0.6784])
"tensor(-0.2147, device='cuda:0')",tensor([0.6863])
"tensor(-0.2063, device='cuda:0')",tensor([0.6941])
"tensor(-0.1979, device='cuda:0')",tensor([0.7020])
"tensor(-0.1894, device='cuda:0')",tensor([0.7098])
"tensor(-0.1810, device='cuda:0')",tensor([0.7176])
"tensor(-0.1728, device='cuda:0')",tensor([0.7255])
"tensor(-0.1647, device='cuda:0')",tensor([0.7333])
"tensor(-0.1569, device='cuda:0')",tensor([0.7412])
"tensor(-0.1493, device='cuda:0')",tensor([0.7490])
"tensor(-0.1420, device='cuda:0')",tensor([0.7569])
"tensor(-0.1351, device='cuda:0')",tensor([0.7647])
"tensor(-0.1285, device='cuda:0')",tensor([0.7725])
"tensor(-0.1223, device='cuda:0')",tensor([0.7804])
"tensor(-0.1163, device='cuda:0')",tensor([0.7882])
"tensor(-0.1108, device='cuda:0')",tensor([0.7961])
"tensor(-0.1055, device='cuda:0')",tensor([0.8039])
"tensor(-0.1005, device='cuda:0')",tensor([0.8118])
"tensor(-0.0958, device='cuda:0')",tensor([0.8196])
"tensor(-0.0914, device='cuda:0')",tensor([0.8275])
"tensor(-0.0872, device='cuda:0')",tensor([0.8353])
"tensor(-0.0833, device='cuda:0')",tensor([0.8431])
"tensor(-0.0795, device='cuda:0')",tensor([0.8510])
"tensor(-0.0760, device='cuda:0')",tensor([0.8588])
"tensor(-0.0726, device='cuda:0')",tensor([0.8667])
"tensor(-0.0694, device='cuda:0')",tensor([0.8745])
"tensor(-0.0663, device='cuda:0')",tensor([0.8824])
"tensor(-0.0634, device='cuda:0')",tensor([0.8902])
"tensor(-0.0606, device='cuda:0')",tensor([0.8980])
"tensor(-0.0579, device='cuda:0')",tensor([0.9059])
"tensor(-0.0553, device='cuda:0')",tensor([0.9137])
"tensor(-0.0528, device='cuda:0')",tensor([0.9216])
"tensor(-0.0504, device='cuda:0')",tensor([0.9294])
"tensor(-0.0481, device='cuda:0')",tensor([0.9373])
"tensor(-0.0459, device='cuda:0')",tensor([0.9451])
"tensor(-0.0438, device='cuda:0')",tensor([0.9529])
"tensor(-0.0418, device='cuda:0')",tensor([0.9608])
"tensor(-0.0398, device='cuda:0')",tensor([0.9686])
"tensor(-0.0379, device='cuda:0')",tensor([0.9765])
"tensor(-0.0360, device='cuda:0')",tensor([0.9843])
"tensor(-0.0342, device='cuda:0')",tensor([0.9922])
"tensor(-0.0325, device='cuda:0')",tensor([1.])
