"tensor(0.0660, device='cuda:0')",tensor([-1.])
"tensor(0.0901, device='cuda:0')",tensor([-0.1294])
"tensor(0.0658, device='cuda:0')",tensor([-0.1216])
"tensor(0.0419, device='cuda:0')",tensor([-0.1137])
"tensor(0.0177, device='cuda:0')",tensor([-0.1059])
"tensor(-0.0093, device='cuda:0')",tensor([-0.0980])
"tensor(-0.0404, device='cuda:0')",tensor([-0.0902])
"tensor(-0.0734, device='cuda:0')",tensor([-0.0824])
"tensor(-0.1048, device='cuda:0')",tensor([-0.0745])
"tensor(-0.1321, device='cuda:0')",tensor([-0.0667])
"tensor(-0.1550, device='cuda:0')",tensor([-0.0588])
"tensor(-0.1741, device='cuda:0')",tensor([-0.0510])
"tensor(-0.1903, device='cuda:0')",tensor([-0.0431])
"tensor(-0.2044, device='cuda:0')",tensor([-0.0353])
"tensor(-0.2169, device='cuda:0')",tensor([-0.0275])
"tensor(-0.2281, device='cuda:0')",tensor([-0.0196])
"tensor(-0.2383, device='cuda:0')",tensor([-0.0118])
"tensor(-0.2475, device='cuda:0')",tensor([-0.0039])
"tensor(-0.2560, device='cuda:0')",tensor([0.0039])
"tensor(-0.2638, device='cuda:0')",tensor([0.0118])
"tensor(-0.2709, device='cuda:0')",tensor([0.0196])
"tensor(-0.2776, device='cuda:0')",tensor([0.0275])
"tensor(-0.2838, device='cuda:0')",tensor([0.0353])
"tensor(-0.2895, device='cuda:0')",tensor([0.0431])
"tensor(-0.2949, device='cuda:0')",tensor([0.0510])
"tensor(-0.2999, device='cuda:0')",tensor([0.0588])
"tensor(-0.3046, device='cuda:0')",tensor([0.0667])
"tensor(-0.3090, device='cuda:0')",tensor([0.0745])
"tensor(-0.3131, device='cuda:0')",tensor([0.0824])
"tensor(-0.3170, device='cuda:0')",tensor([0.0902])
"tensor(-0.3206, device='cuda:0')",tensor([0.0980])
"tensor(-0.3239, device='cuda:0')",tensor([0.1059])
"tensor(-0.3271, device='cuda:0')",tensor([0.1137])
"tensor(-0.3301, device='cuda:0')",tensor([0.1216])
"tensor(-0.3330, device='cuda:0')",tensor([0.1294])
"tensor(-0.3356, device='cuda:0')",tensor([0.1373])
"tensor(-0.3382, device='cuda:0')",tensor([0.1451])
"tensor(-0.3406, device='cuda:0')",tensor([0.1529])
"tensor(-0.3428, device='cuda:0')",tensor([0.1608])
"tensor(-0.3450, device='cuda:0')",tensor([0.1686])
"tensor(-0.3470, device='cuda:0')",tensor([0.1765])
"tensor(-0.3488, device='cuda:0')",tensor([0.1843])
"tensor(-0.3506, device='cuda:0')",tensor([0.1922])
"tensor(-0.3522, device='cuda:0')",tensor([0.2000])
"tensor(-0.3537, device='cuda:0')",tensor([0.2078])
"tensor(-0.3551, device='cuda:0')",tensor([0.2157])
"tensor(-0.3564, device='cuda:0')",tensor([0.2235])
"tensor(-0.3576, device='cuda:0')",tensor([0.2314])
"tensor(-0.3586, device='cuda:0')",tensor([0.2392])
"tensor(-0.3596, device='cuda:0')",tensor([0.2471])
"tensor(-0.3604, device='cuda:0')",tensor([0.2549])
"tensor(-0.3612, device='cuda:0')",tensor([0.2627])
"tensor(-0.3619, device='cuda:0')",tensor([0.2706])
"tensor(-0.3625, device='cuda:0')",tensor([0.2784])
"tensor(-0.3630, device='cuda:0')",tensor([0.2863])
"tensor(-0.3635, device='cuda:0')",tensor([0.2941])
"tensor(-0.3639, device='cuda:0')",tensor([0.3020])
"tensor(-0.3642, device='cuda:0')",tensor([0.3098])
"tensor(-0.3644, device='cuda:0')",tensor([0.3176])
"tensor(-0.3646, device='cuda:0')",tensor([0.3255])
"tensor(-0.3647, device='cuda:0')",tensor([0.3333])
"tensor(-0.3648, device='cuda:0')",tensor([0.3412])
"tensor(-0.3648, device='cuda:0')",tensor([0.3490])
"tensor(-0.3648, device='cuda:0')",tensor([0.3569])
"tensor(-0.3647, device='cuda:0')",tensor([0.3647])
"tensor(-0.3645, device='cuda:0')",tensor([0.3725])
"tensor(-0.3643, device='cuda:0')",tensor([0.3804])
"tensor(-0.3640, device='cuda:0')",tensor([0.3882])
"tensor(-0.3637, device='cuda:0')",tensor([0.3961])
"tensor(-0.3633, device='cuda:0')",tensor([0.4039])
"tensor(-0.3628, device='cuda:0')",tensor([0.4118])
"tensor(-0.3622, device='cuda:0')",tensor([0.4196])
"tensor(-0.3616, device='cuda:0')",tensor([0.4275])
"tensor(-0.3609, device='cuda:0')",tensor([0.4353])
"tensor(-0.3601, device='cuda:0')",tensor([0.4431])
"tensor(-0.3592, device='cuda:0')",tensor([0.4510])
"tensor(-0.3581, device='cuda:0')",tensor([0.4588])
"tensor(-0.3570, device='cuda:0')",tensor([0.4667])
"tensor(-0.3557, device='cuda:0')",tensor([0.4745])
"tensor(-0.3544, device='cuda:0')",tensor([0.4824])
"tensor(-0.3528, device='cuda:0')",tensor([0.4902])
"tensor(-0.3512, device='cuda:0')",tensor([0.4980])
"tensor(-0.3494, device='cuda:0')",tensor([0.5059])
"tensor(-0.3475, device='cuda:0')",tensor([0.5137])
"tensor(-0.3455, device='cuda:0')",tensor([0.5216])
"tensor(-0.3433, device='cuda:0')",tensor([0.5294])
"tensor(-0.3410, device='cuda:0')",tensor([0.5373])
"tensor(-0.3386, device='cuda:0')",tensor([0.5451])
"tensor(-0.3361, device='cuda:0')",tensor([0.5529])
"tensor(-0.3335, device='cuda:0')",tensor([0.5608])
"tensor(-0.3308, device='cuda:0')",tensor([0.5686])
"tensor(-0.3281, device='cuda:0')",tensor([0.5765])
"tensor(-0.3252, device='cuda:0')",tensor([0.5843])
"tensor(-0.3223, device='cuda:0')",tensor([0.5922])
"tensor(-0.3192, device='cuda:0')",tensor([0.6000])
"tensor(-0.3161, device='cuda:0')",tensor([0.6078])
"tensor(-0.3128, device='cuda:0')",tensor([0.6157])
"tensor(-0.3093, device='cuda:0')",tensor([0.6235])
"tensor(-0.3056, device='cuda:0')",tensor([0.6314])
"tensor(-0.3017, device='cuda:0')",tensor([0.6392])
"tensor(-0.2975, device='cuda:0')",tensor([0.6471])
"tensor(-0.2930, device='cuda:0')",tensor([0.6549])
"tensor(-0.2882, device='cuda:0')",tensor([0.6627])
"tensor(-0.2829, device='cuda:0')",tensor([0.6706])
"tensor(-0.2772, device='cuda:0')",tensor([0.6784])
"tensor(-0.2711, device='cuda:0')",tensor([0.6863])
"tensor(-0.2644, device='cuda:0')",tensor([0.6941])
"tensor(-0.2572, device='cuda:0')",tensor([0.7020])
"tensor(-0.2494, device='cuda:0')",tensor([0.7098])
"tensor(-0.2411, device='cuda:0')",tensor([0.7176])
"tensor(-0.2325, device='cuda:0')",tensor([0.7255])
"tensor(-0.2235, device='cuda:0')",tensor([0.7333])
"tensor(-0.2144, device='cuda:0')",tensor([0.7412])
"tensor(-0.2053, device='cuda:0')",tensor([0.7490])
"tensor(-0.1964, device='cuda:0')",tensor([0.7569])
"tensor(-0.1877, device='cuda:0')",tensor([0.7647])
"tensor(-0.1795, device='cuda:0')",tensor([0.7725])
"tensor(-0.1717, device='cuda:0')",tensor([0.7804])
"tensor(-0.1645, device='cuda:0')",tensor([0.7882])
"tensor(-0.1578, device='cuda:0')",tensor([0.7961])
"tensor(-0.1518, device='cuda:0')",tensor([0.8039])
"tensor(-0.1463, device='cuda:0')",tensor([0.8118])
"tensor(-0.1413, device='cuda:0')",tensor([0.8196])
"tensor(-0.1368, device='cuda:0')",tensor([0.8275])
"tensor(-0.1328, device='cuda:0')",tensor([0.8353])
"tensor(-0.1292, device='cuda:0')",tensor([0.8431])
"tensor(-0.1260, device='cuda:0')",tensor([0.8510])
"tensor(-0.1230, device='cuda:0')",tensor([0.8588])
"tensor(-0.1204, device='cuda:0')",tensor([0.8667])
"tensor(-0.1180, device='cuda:0')",tensor([0.8745])
"tensor(-0.1159, device='cuda:0')",tensor([0.8824])
"tensor(-0.1139, device='cuda:0')",tensor([0.8902])
"tensor(-0.1121, device='cuda:0')",tensor([0.8980])
"tensor(-0.1105, device='cuda:0')",tensor([0.9059])
"tensor(-0.1091, device='cuda:0')",tensor([0.9137])
"tensor(-0.1077, device='cuda:0')",tensor([0.9216])
"tensor(-0.1065, device='cuda:0')",tensor([0.9294])
"tensor(-0.1054, device='cuda:0')",tensor([0.9373])
"tensor(-0.1044, device='cuda:0')",tensor([0.9451])
"tensor(-0.1035, device='cuda:0')",tensor([0.9529])
"tensor(-0.1027, device='cuda:0')",tensor([0.9608])
"tensor(-0.1019, device='cuda:0')",tensor([0.9686])
"tensor(-0.1012, device='cuda:0')",tensor([0.9765])
"tensor(-0.1006, device='cuda:0')",tensor([0.9843])
"tensor(-0.1000, device='cuda:0')",tensor([0.9922])
"tensor(-0.0995, device='cuda:0')",tensor([1.])
