"tensor(-0.0184, device='cuda:0')",tensor([-1.])
"tensor(0.2941, device='cuda:0')",tensor([-0.1451])
"tensor(0.2752, device='cuda:0')",tensor([-0.1373])
"tensor(0.2527, device='cuda:0')",tensor([-0.1294])
"tensor(0.2244, device='cuda:0')",tensor([-0.1216])
"tensor(0.1879, device='cuda:0')",tensor([-0.1137])
"tensor(0.1436, device='cuda:0')",tensor([-0.1059])
"tensor(0.0967, device='cuda:0')",tensor([-0.0980])
"tensor(0.0543, device='cuda:0')",tensor([-0.0902])
"tensor(0.0189, device='cuda:0')",tensor([-0.0824])
"tensor(-0.0109, device='cuda:0')",tensor([-0.0745])
"tensor(-0.0371, device='cuda:0')",tensor([-0.0667])
"tensor(-0.0614, device='cuda:0')",tensor([-0.0588])
"tensor(-0.0845, device='cuda:0')",tensor([-0.0510])
"tensor(-0.1068, device='cuda:0')",tensor([-0.0431])
"tensor(-0.1281, device='cuda:0')",tensor([-0.0353])
"tensor(-0.1483, device='cuda:0')",tensor([-0.0275])
"tensor(-0.1672, device='cuda:0')",tensor([-0.0196])
"tensor(-0.1845, device='cuda:0')",tensor([-0.0118])
"tensor(-0.2004, device='cuda:0')",tensor([-0.0039])
"tensor(-0.2146, device='cuda:0')",tensor([0.0039])
"tensor(-0.2273, device='cuda:0')",tensor([0.0118])
"tensor(-0.2386, device='cuda:0')",tensor([0.0196])
"tensor(-0.2484, device='cuda:0')",tensor([0.0275])
"tensor(-0.2570, device='cuda:0')",tensor([0.0353])
"tensor(-0.2644, device='cuda:0')",tensor([0.0431])
"tensor(-0.2708, device='cuda:0')",tensor([0.0510])
"tensor(-0.2763, device='cuda:0')",tensor([0.0588])
"tensor(-0.2809, device='cuda:0')",tensor([0.0667])
"tensor(-0.2849, device='cuda:0')",tensor([0.0745])
"tensor(-0.2883, device='cuda:0')",tensor([0.0824])
"tensor(-0.2912, device='cuda:0')",tensor([0.0902])
"tensor(-0.2937, device='cuda:0')",tensor([0.0980])
"tensor(-0.2957, device='cuda:0')",tensor([0.1059])
"tensor(-0.2974, device='cuda:0')",tensor([0.1137])
"tensor(-0.2988, device='cuda:0')",tensor([0.1216])
"tensor(-0.2999, device='cuda:0')",tensor([0.1294])
"tensor(-0.3007, device='cuda:0')",tensor([0.1373])
"tensor(-0.3014, device='cuda:0')",tensor([0.1451])
"tensor(-0.3018, device='cuda:0')",tensor([0.1529])
"tensor(-0.3021, device='cuda:0')",tensor([0.1608])
"tensor(-0.3022, device='cuda:0')",tensor([0.1686])
"tensor(-0.3021, device='cuda:0')",tensor([0.1765])
"tensor(-0.3020, device='cuda:0')",tensor([0.1843])
"tensor(-0.3017, device='cuda:0')",tensor([0.1922])
"tensor(-0.3012, device='cuda:0')",tensor([0.2000])
"tensor(-0.3007, device='cuda:0')",tensor([0.2078])
"tensor(-0.3001, device='cuda:0')",tensor([0.2157])
"tensor(-0.2993, device='cuda:0')",tensor([0.2235])
"tensor(-0.2985, device='cuda:0')",tensor([0.2314])
"tensor(-0.2976, device='cuda:0')",tensor([0.2392])
"tensor(-0.2966, device='cuda:0')",tensor([0.2471])
"tensor(-0.2955, device='cuda:0')",tensor([0.2549])
"tensor(-0.2944, device='cuda:0')",tensor([0.2627])
"tensor(-0.2932, device='cuda:0')",tensor([0.2706])
"tensor(-0.2919, device='cuda:0')",tensor([0.2784])
"tensor(-0.2905, device='cuda:0')",tensor([0.2863])
"tensor(-0.2891, device='cuda:0')",tensor([0.2941])
"tensor(-0.2877, device='cuda:0')",tensor([0.3020])
"tensor(-0.2861, device='cuda:0')",tensor([0.3098])
"tensor(-0.2845, device='cuda:0')",tensor([0.3176])
"tensor(-0.2828, device='cuda:0')",tensor([0.3255])
"tensor(-0.2811, device='cuda:0')",tensor([0.3333])
"tensor(-0.2793, device='cuda:0')",tensor([0.3412])
"tensor(-0.2775, device='cuda:0')",tensor([0.3490])
"tensor(-0.2756, device='cuda:0')",tensor([0.3569])
"tensor(-0.2736, device='cuda:0')",tensor([0.3647])
"tensor(-0.2716, device='cuda:0')",tensor([0.3725])
"tensor(-0.2696, device='cuda:0')",tensor([0.3804])
"tensor(-0.2674, device='cuda:0')",tensor([0.3882])
"tensor(-0.2652, device='cuda:0')",tensor([0.3961])
"tensor(-0.2630, device='cuda:0')",tensor([0.4039])
"tensor(-0.2607, device='cuda:0')",tensor([0.4118])
"tensor(-0.2583, device='cuda:0')",tensor([0.4196])
"tensor(-0.2558, device='cuda:0')",tensor([0.4275])
"tensor(-0.2533, device='cuda:0')",tensor([0.4353])
"tensor(-0.2506, device='cuda:0')",tensor([0.4431])
"tensor(-0.2479, device='cuda:0')",tensor([0.4510])
"tensor(-0.2451, device='cuda:0')",tensor([0.4588])
"tensor(-0.2421, device='cuda:0')",tensor([0.4667])
"tensor(-0.2390, device='cuda:0')",tensor([0.4745])
"tensor(-0.2357, device='cuda:0')",tensor([0.4824])
"tensor(-0.2322, device='cuda:0')",tensor([0.4902])
"tensor(-0.2285, device='cuda:0')",tensor([0.4980])
"tensor(-0.2245, device='cuda:0')",tensor([0.5059])
"tensor(-0.2203, device='cuda:0')",tensor([0.5137])
"tensor(-0.2157, device='cuda:0')",tensor([0.5216])
"tensor(-0.2108, device='cuda:0')",tensor([0.5294])
"tensor(-0.2055, device='cuda:0')",tensor([0.5373])
"tensor(-0.1997, device='cuda:0')",tensor([0.5451])
"tensor(-0.1935, device='cuda:0')",tensor([0.5529])
"tensor(-0.1868, device='cuda:0')",tensor([0.5608])
"tensor(-0.1796, device='cuda:0')",tensor([0.5686])
"tensor(-0.1719, device='cuda:0')",tensor([0.5765])
"tensor(-0.1637, device='cuda:0')",tensor([0.5843])
"tensor(-0.1551, device='cuda:0')",tensor([0.5922])
"tensor(-0.1461, device='cuda:0')",tensor([0.6000])
"tensor(-0.1368, device='cuda:0')",tensor([0.6078])
"tensor(-0.1272, device='cuda:0')",tensor([0.6157])
"tensor(-0.1174, device='cuda:0')",tensor([0.6235])
"tensor(-0.1076, device='cuda:0')",tensor([0.6314])
"tensor(-0.0977, device='cuda:0')",tensor([0.6392])
"tensor(-0.0877, device='cuda:0')",tensor([0.6471])
"tensor(-0.0778, device='cuda:0')",tensor([0.6549])
"tensor(-0.0679, device='cuda:0')",tensor([0.6627])
"tensor(-0.0580, device='cuda:0')",tensor([0.6706])
"tensor(-0.0482, device='cuda:0')",tensor([0.6784])
"tensor(-0.0385, device='cuda:0')",tensor([0.6863])
"tensor(-0.0290, device='cuda:0')",tensor([0.6941])
"tensor(-0.0197, device='cuda:0')",tensor([0.7020])
"tensor(-0.0109, device='cuda:0')",tensor([0.7098])
"tensor(-0.0025, device='cuda:0')",tensor([0.7176])
"tensor(0.0053, device='cuda:0')",tensor([0.7255])
"tensor(0.0127, device='cuda:0')",tensor([0.7333])
"tensor(0.0196, device='cuda:0')",tensor([0.7412])
"tensor(0.0260, device='cuda:0')",tensor([0.7490])
"tensor(0.0320, device='cuda:0')",tensor([0.7569])
"tensor(0.0376, device='cuda:0')",tensor([0.7647])
"tensor(0.0429, device='cuda:0')",tensor([0.7725])
"tensor(0.0479, device='cuda:0')",tensor([0.7804])
"tensor(0.0526, device='cuda:0')",tensor([0.7882])
"tensor(0.0571, device='cuda:0')",tensor([0.7961])
"tensor(0.0615, device='cuda:0')",tensor([0.8039])
"tensor(0.0656, device='cuda:0')",tensor([0.8118])
"tensor(0.0696, device='cuda:0')",tensor([0.8196])
"tensor(0.0734, device='cuda:0')",tensor([0.8275])
"tensor(0.0771, device='cuda:0')",tensor([0.8353])
"tensor(0.0805, device='cuda:0')",tensor([0.8431])
"tensor(0.0839, device='cuda:0')",tensor([0.8510])
"tensor(0.0870, device='cuda:0')",tensor([0.8588])
"tensor(0.0900, device='cuda:0')",tensor([0.8667])
"tensor(0.0929, device='cuda:0')",tensor([0.8745])
"tensor(0.0956, device='cuda:0')",tensor([0.8824])
"tensor(0.0982, device='cuda:0')",tensor([0.8902])
"tensor(0.1006, device='cuda:0')",tensor([0.8980])
"tensor(0.1028, device='cuda:0')",tensor([0.9059])
"tensor(0.1050, device='cuda:0')",tensor([0.9137])
"tensor(0.1069, device='cuda:0')",tensor([0.9216])
"tensor(0.1088, device='cuda:0')",tensor([0.9294])
"tensor(0.1106, device='cuda:0')",tensor([0.9373])
"tensor(0.1122, device='cuda:0')",tensor([0.9451])
"tensor(0.1137, device='cuda:0')",tensor([0.9529])
"tensor(0.1151, device='cuda:0')",tensor([0.9608])
"tensor(0.1165, device='cuda:0')",tensor([0.9686])
"tensor(0.1177, device='cuda:0')",tensor([0.9765])
"tensor(0.1189, device='cuda:0')",tensor([0.9843])
"tensor(0.1200, device='cuda:0')",tensor([0.9922])
"tensor(0.1210, device='cuda:0')",tensor([1.])
